Timestamp;T (°C);CT (°C);H (%)
2023/05/25 11:03:42;14.53;12.87;98.4
2023/05/25 11:23:40;14.66;;98.2
2023/05/25 11:43:40;14.63;;97.7
2023/05/25 12:03:40;14.67;13.12;97.4
2023/05/25 12:23:39;14.58;13.06;97.2
2023/05/25 12:43:40;14.46;13.06;97.2
2023/05/25 13:03:39;14.46;13.12;97.3
2023/05/25 13:23:39;14.53;13.12;97.2
2023/05/25 13:43:39;14.58;13.18;97.3
2023/05/25 14:03:38;14.58;13.18;97.4
2023/05/25 14:23:38;14.7;13.25;97.4
2023/05/25 14:43:38;14.67;13.25;97.6
2023/05/25 15:03:38;14.7;13.31;97.6
2023/05/25 15:23:37;14.65;13.31;97.5
2023/05/25 15:43:37;14.69;13.31;97.5
2023/05/25 16:03:37;14.7;13.37;97.3
2023/05/25 16:23:37;15.79;13.68;95.6
2023/05/25 16:43:37;16.27;13.81;93.8
2023/05/25 17:03:36;16.54;13.87;
2023/05/25 17:23:36;15.87;13.75;91.5
2023/05/25 17:43:37;15.05;13.62;
2023/05/25 18:03:36;14.75;13.56;94.3
2023/05/25 18:43:35;14.47;13.5;
2023/05/25 19:03:38;14.43;13.5;95.9
2023/05/25 19:23:35;14.42;13.5;96.3
2023/05/25 19:43:34;14.32;13.43;
2023/05/25 20:03:34;14.28;13.37;97.4
2023/05/25 20:23:38;14.17;13.37;97.7
2023/05/25 20:43:34;14.05;13.31;98.1
2023/05/25 21:03:34;13.97;13.25;98.2
2023/05/25 21:23:34;13.96;13.25;98.2
2023/05/25 21:43:33;13.93;13.25;98.4
2023/05/25 22:03:33;13.91;13.18;98.5
2023/05/25 23:23:32;13.74;13.12;98.7
2023/05/25 23:43:32;13.77;13.12;98.7
