Timestamp;T (°C);CT (°C);H (%)
2023/11/11 00:17:59;12.58;;89.8
2023/11/11 00:37:58;12.32;;89.5
2023/11/11 00:57:58;12.04;;91.8
2023/11/11 01:17:58;11.95;;91.8
2023/11/11 01:57:57;12.14;;88.4
2023/11/11 02:17:57;12.23;;
2023/11/11 02:37:57;12.28;;89.2
2023/11/11 02:57:57;12.29;;90.9
2023/11/11 03:17:56;12.41;;93.1
2023/11/11 03:37:56;;;92.3
2023/11/11 03:57:56;11.78;;93.6
2023/11/11 04:37:56;11.87;;93.7
2023/11/11 04:57:55;11.45;;93.2
2023/11/11 05:17:55;11.38;;94.4
2023/11/11 05:37:55;11.38;;93.6
2023/11/11 06:37:54;11.31;;93.4
2023/11/11 07:17:54;11.32;;93.8
2023/11/11 07:37:54;11.48;;91.9
2023/11/11 07:57:53;11.58;;
2023/11/11 08:17:53;11.66;;90.1
2023/11/11 08:37:53;11.88;;89.5
2023/11/11 08:57:53;11.93;;88.2
2023/11/11 09:17:53;12.25;;83.1
2023/11/11 09:37:52;12.46;;83.7
2023/11/11 09:57:52;12.8;;81.2
2023/11/11 10:17:52;12.89;;77.2
2023/11/11 10:37:52;12.9;;77.9
2023/11/11 10:57:51;12.89;;80.2
2023/11/11 11:17:51;12.87;;77.6
2023/11/11 11:57:51;13.06;;77.5
2023/11/11 12:17:51;13.38;;74.3
2023/11/11 12:57:50;13.6;;72.6
2023/11/11 13:37:50;13.79;;74.2
2023/11/11 13:57:49;13.9;;72.6
2023/11/11 14:17:49;13.72;;71.3
2023/11/11 14:37:49;13.57;;73.1
2023/11/11 15:17:49;13.25;;72.9
2023/11/11 15:37:48;13.11;;74.5
2023/11/11 15:57:48;12.89;;81.9
2023/11/11 16:17:48;12.69;;86.6
2023/11/11 16:37:48;12.48;;87.5
2023/11/11 17:17:47;11.95;;90.1
2023/11/11 17:37:47;11.81;;90.2
2023/11/11 18:17:47;11.78;;92.1
2023/11/11 18:37:46;11.73;;93.1
2023/11/11 19:17:46;11.65;;92.6
2023/11/11 19:57:46;11.64;;91.2
2023/11/11 20:17:45;11.59;;
2023/11/11 20:37:45;11.55;;92.1
2023/11/11 20:57:45;11.51;;92.3
2023/11/11 21:17:45;11.42;;92.8
2023/11/11 21:37:44;11.41;;93.2
2023/11/11 21:57:44;11.43;;93.3
2023/11/11 22:17:44;11.38;;
2023/11/11 22:37:44;11.46;;93.2
2023/11/11 22:57:44;11.66;;93.5
2023/11/11 23:17:43;11.66;;93.5
2023/11/11 23:37:43;11.66;;93.2
2023/11/11 23:57:43;11.49;;
