Timestamp;T (°C);CT (°C);H (%)
2023/10/08 00:07:04;15.1;;98.4
2023/10/08 00:27:03;15.03;;99.1
2023/10/08 00:47:03;14.93;;99.9
2023/10/08 01:07:03;14.86;;99.9
2023/10/08 01:27:03;14.8;;99.9
2023/10/08 01:47:03;14.63;;99.9
2023/10/08 02:07:02;14.58;;99.9
2023/10/08 02:27:02;14.41;;99.9
2023/10/08 02:47:02;14.42;;99.9
2023/10/08 03:27:01;14.35;;99.9
2023/10/08 03:47:01;14.39;;99.9
2023/10/08 04:07:01;14.41;;99.9
2023/10/08 04:27:01;14.4;;99.9
2023/10/08 04:47:01;14.4;;99.9
2023/10/08 05:07:00;14.3;;99.9
2023/10/08 05:27:00;14.15;;99.9
2023/10/08 05:47:00;14.19;;99.9
2023/10/08 06:07:00;14.11;;99.9
2023/10/08 06:26:59;13.95;;99.9
2023/10/08 06:46:59;13.89;;99.9
2023/10/08 07:06:59;13.87;;99.9
2023/10/08 07:26:59;14.1;;99.9
2023/10/08 07:46:59;14.05;;99.9
2023/10/08 08:06:58;14.28;;99.9
2023/10/08 08:26:58;14.47;;99.9
2023/10/08 08:46:58;14.81;;95.1
2023/10/08 09:06:58;16.07;;82.2
2023/10/08 09:26:57;16.76;;
2023/10/08 09:46:57;17.46;;74.2
2023/10/08 10:06:57;17.99;;71.8
2023/10/08 10:26:57;18.6;;67.3
2023/10/08 10:46:57;18.89;;63.8
2023/10/08 11:06:56;19.29;;65.3
2023/10/08 11:26:56;19.87;;56.3
2023/10/08 11:46:56;20.13;;54.3
2023/10/08 12:06:56;20.36;;53.7
2023/10/08 12:26:55;20.9;;50.9
2023/10/08 12:46:55;20.95;;53.8
2023/10/08 13:06:56;21.36;;50.9
2023/10/08 13:26:55;21.87;;49.4
2023/10/08 13:46:55;21.96;;51.2
2023/10/08 14:06:54;22.14;;50.9
2023/10/08 14:26:54;22.14;;52.9
2023/10/08 14:46:54;22.29;;53.9
2023/10/08 15:06:54;22.25;;56.2
2023/10/08 15:26:53;22.39;;57.2
2023/10/08 15:46:53;22.33;;58.1
2023/10/08 16:06:53;22.42;;58.4
2023/10/08 16:26:53;22.38;;58.5
2023/10/08 16:46:53;22.31;;59.2
2023/10/08 17:06:52;21.71;;
2023/10/08 17:26:52;21.18;;
2023/10/08 17:46:52;20.75;;
2023/10/08 18:06:52;20.15;;65.8
2023/10/08 18:26:51;19.44;;69.2
2023/10/08 18:46:51;18.57;;73.9
2023/10/08 19:06:51;18.07;;77.1
2023/10/08 19:26:51;17.63;;79.8
2023/10/08 19:46:50;17.33;;81.3
2023/10/08 20:06:50;16.98;;82.5
2023/10/08 20:26:50;16.99;;81.2
2023/10/08 20:46:50;16.62;;85.4
2023/10/08 21:06:50;16.42;;84.9
2023/10/08 21:26:49;15.99;;
2023/10/08 21:46:49;15.84;;92.1
2023/10/08 22:06:49;15.69;;91.8
2023/10/08 22:26:49;15.61;;91.1
2023/10/08 22:46:48;15.46;;91.8
2023/10/08 23:06:48;15.34;;92.9
2023/10/08 23:26:48;15.18;;93.2
2023/10/08 23:46:48;15.16;;
