Timestamp;T (°C);CT (°C);H (%)
2023/09/15 00:14:15;17.77;17.12;
2023/09/15 00:34:15;17.7;17.12;96.9
2023/09/15 00:54:15;17.69;17.06;
2023/09/15 01:14:14;17.7;17.06;97.1
2023/09/15 01:34:14;17.7;17.06;97.2
2023/09/15 01:54:14;17.68;17.06;97.1
2023/09/15 02:14:14;17.66;17.06;
2023/09/15 02:34:13;17.67;17.06;97.1
2023/09/15 02:54:13;17.68;17.06;97.1
2023/09/15 03:14:13;17.69;17.06;97.2
2023/09/15 03:34:13;17.67;17.06;97.2
2023/09/15 03:54:13;17.61;;97.1
2023/09/15 04:14:12;17.64;;97.1
2023/09/15 04:34:12;17.6;;
2023/09/15 04:54:12;17.59;;
2023/09/15 05:14:12;17.58;16.93;
2023/09/15 05:34:11;17.6;16.93;96.9
2023/09/15 05:54:11;17.57;16.93;96.9
2023/09/15 06:14:11;17.5;16.93;96.8
2023/09/15 06:34:11;17.5;16.87;96.8
2023/09/15 06:54:11;17.49;16.87;96.6
2023/09/15 07:14:10;17.49;16.87;96.6
2023/09/15 07:34:10;17.53;16.93;96.8
2023/09/15 07:54:10;17.57;;
2023/09/15 08:14:10;17.6;;97.1
2023/09/15 08:34:09;17.65;17.06;97.3
2023/09/15 08:54:09;17.69;17.06;97.4
2023/09/15 09:14:10;17.74;17.12;97.6
2023/09/15 09:34:09;17.79;17.12;97.8
2023/09/15 09:54:09;17.97;17.25;97.8
2023/09/15 10:14:08;18.13;17.37;97.7
2023/09/15 10:34:08;18.03;17.31;
2023/09/15 10:54:08;18.05;17.37;96.9
2023/09/15 11:14:08;18.01;17.31;96.7
2023/09/15 11:34:08;18.05;17.43;96.5
2023/09/15 11:54:07;18.05;17.43;96.3
2023/09/15 12:14:07;18.15;17.5;
2023/09/15 12:34:07;18.13;17.43;95.8
2023/09/15 12:54:07;18.25;17.5;95.5
2023/09/15 13:14:07;18.17;17.5;95.8
2023/09/15 13:34:06;18.1;17.37;96.6
2023/09/15 13:54:06;17.98;17.37;97.6
2023/09/15 14:14:06;18.09;17.5;98.6
2023/09/15 14:34:05;18.11;17.5;98.9
2023/09/15 14:54:05;18.13;17.43;98.9
2023/09/15 15:14:05;18.2;17.5;99.1
2023/09/15 15:34:05;18.21;17.56;99.4
2023/09/15 15:54:05;18.2;17.5;99.4
2023/09/15 16:14:04;18.15;17.5;99.5
2023/09/15 16:34:04;18.13;17.43;99.5
2023/09/15 16:54:04;18.05;17.37;99.5
2023/09/15 17:14:04;17.98;17.31;99.6
2023/09/15 17:34:03;17.98;17.31;99.7
2023/09/15 17:54:03;17.98;17.31;99.7
2023/09/15 18:14:03;17.98;17.31;99.7
2023/09/15 18:34:03;17.97;17.31;99.8
2023/09/15 18:54:03;17.96;17.31;99.9
2023/09/15 19:14:02;17.93;17.31;99.9
2023/09/15 19:34:02;17.91;17.25;99.8
2023/09/15 19:54:02;17.92;17.25;99.7
2023/09/15 20:14:02;17.89;17.18;99.7
2023/09/15 20:34:01;17.88;17.25;99.8
2023/09/15 20:54:01;17.87;17.25;99.7
2023/09/15 21:14:01;17.88;17.18;99.6
2023/09/15 21:34:01;17.8;17.18;99.6
2023/09/15 21:54:01;17.8;17.12;99.7
2023/09/15 22:14:01;17.82;17.18;99.6
2023/09/15 22:34:00;17.81;17.18;99.6
2023/09/15 22:54:00;17.81;17.18;99.5
2023/09/15 23:14:00;17.76;17.18;99.5
2023/09/15 23:33:59;17.79;17.12;99.4
2023/09/15 23:53:59;17.77;17.12;99.5
