Timestamp,"T (°C)","CT (°C)","H (%)"
"2023/08/31 00:17:17","17,02",,"83,2"
"2023/08/31 00:37:16","16,85",,"82,7"
"2023/08/31 00:57:16","17,09",,
"2023/08/31 01:17:16","17,09",,"80,8"
"2023/08/31 01:37:16","16,89",,"81,3"
"2023/08/31 01:57:15","16,89",,"80,4"
"2023/08/31 02:17:15","16,67",,"84,8"
"2023/08/31 02:37:15","16,6",,"85,8"
"2023/08/31 02:57:15","16,51",,"86,9"
"2023/08/31 03:17:15","16,41",,"85,4"
"2023/08/31 03:37:14","16,27",,"87,8"
"2023/08/31 03:57:14","16,29",,"86,8"
"2023/08/31 04:17:14","16,21",,"86,5"
"2023/08/31 04:37:14","16,2",,"86,2"
"2023/08/31 04:57:13","16,17",,"86,8"
"2023/08/31 05:17:13","16,01",,"87,1"
"2023/08/31 05:37:13","15,93",,
"2023/08/31 05:57:13","15,91",,
"2023/08/31 06:17:13","15,81",,"88,1"
"2023/08/31 06:37:12","15,87",,
"2023/08/31 06:57:12","16,14",,"85,3"
"2023/08/31 07:17:12","16,42",,"83,8"
"2023/08/31 07:37:12","16,76",,"81,7"
"2023/08/31 07:57:11","17,16",,"80,1"
"2023/08/31 08:17:11","17,45",,"78,5"
"2023/08/31 08:37:11","17,73",,
"2023/08/31 08:57:11","18,11",,"74,6"
"2023/08/31 09:17:11","18,54",,"72,6"
"2023/08/31 09:37:10","19,23",,
"2023/08/31 09:57:10","19,66",,"68,1"
"2023/08/31 10:17:11","20,46",,"64,2"
"2023/08/31 10:37:10","21,21",,"61,5"
"2023/08/31 10:57:09","21,81",,"59,2"
"2023/08/31 11:17:09","22,34",,"56,1"
"2023/08/31 11:37:09","22,77",,"55,3"
"2023/08/31 11:57:09","22,69",,"53,8"
"2023/08/31 12:17:09","23,26",,"53,2"
"2023/08/31 12:37:08","23,63",,"49,3"
"2023/08/31 12:57:08","23,85",,"47,9"
"2023/08/31 13:17:08","24,03",,"47,4"
"2023/08/31 13:37:08","24,44",,"45,9"
"2023/08/31 13:57:07","24,34",,"45,5"
"2023/08/31 14:17:07","24,64",,"45,7"
"2023/08/31 14:37:07","24,71",,"44,4"
"2023/08/31 14:57:07","24,59",,"46,2"
"2023/08/31 15:17:06","25,04",,"44,3"
"2023/08/31 15:37:06","24,93",,"46,7"
"2023/08/31 15:57:06","25,03",,"46,6"
"2023/08/31 16:17:06","24,98",,"46,6"
"2023/08/31 16:37:06","24,73",,"46,4"
"2023/08/31 16:57:05","24,11",,"48,1"
"2023/08/31 17:17:05","23,88",,"49,9"
"2023/08/31 17:37:05","23,51",,"51,3"
"2023/08/31 17:57:05","23,2",,"52,5"
"2023/08/31 18:17:04","22,76",,"56,1"
"2023/08/31 18:37:04","22,34",,"58,6"
"2023/08/31 18:57:04","21,59",,"62,3"
"2023/08/31 19:17:04","20,83",,"66,1"
"2023/08/31 19:37:04","19,92",,
"2023/08/31 19:57:03","19,01",,"74,8"
"2023/08/31 20:17:03","18,43",,"78,8"
"2023/08/31 20:37:03","18,11",,"79,8"
"2023/08/31 20:57:03","17,88",,"80,5"
"2023/08/31 21:17:02","17,72",,"83,1"
"2023/08/31 21:37:02","17,61",,"83,7"
"2023/08/31 21:57:02","17,51",,"85,1"
"2023/08/31 22:17:02","17,32",,"85,9"
"2023/08/31 22:37:02","17,27",,"85,7"
"2023/08/31 22:57:01","17,14",,"88,6"
"2023/08/31 23:17:01","16,98",,
"2023/08/31 23:37:01","16,96",,"86,7"
"2023/08/31 23:57:01","16,89",,"86,2"
