ID;X;Y;Z;T;H
;m;m;m;;%
;R;R;D;R+;P
;;;;; 
;;;Depth;; 
;;;;; 
NODE1;75.679;-42.189;0;25.76;70.6
NODE2;76.403;-38.774;0;18.54;99.9
NODE3;65.487;-43.275;0;18.73;98.8
NODE4;66.211;-27.513;0;19.1;98.8
NODE5;73.885;-34.023;0;18.78;97.2
NODE1-2;76.041;-40.4815;0;22.15;85.25
NODE2-5;75.144;-36.3985;0;18.66;98.55
NODE5-4;70.048;-30.768;0;18.94;98
NODE4-3;65.849;-35.394;0;18.915;98.8
NODE3-1;70.583;-42.732;0;22.245;84.7
NODE3-2;70.945;-41.0245;0;18.635;99.35
NODE3-5;69.686;-38.649;0;18.755;98
NODE1-4;70.945;-34.851;0;22.43;84.7
NODE2-4;71.307;-33.1435;0;18.82;99.35
NODE5-1;74.782;-38.106;0;22.27;83.9
