ID;X;Y;Z;T;H
;m;m;m;;%
;R;R;D;R+; 
;;;;; 
;;;Depth;; 
;;;;; 
NODE1;75.679;-42.189;0;17.02;59.9
NODE2;76.403;-38.774;0;13.09;94.3
NODE3;65.487;-43.275;0;13.45;93.1
NODE4;66.211;-27.513;0;13.48;92.5
NODE5;73.885;-34.023;0;13.16;99.9
NODE1-2;76.041;-40.4815;0;15.055;77.1
NODE2-5;75.144;-36.3985;0;13.125;97.1
NODE5-4;70.048;-30.768;0;13.32;96.2
NODE4-3;65.849;-35.394;0;13.465;92.8
NODE3-1;70.583;-42.732;0;15.235;76.5
NODE3-2;70.945;-41.0245;0;13.27;93.7
NODE3-5;69.686;-38.649;0;13.305;96.5
NODE1-4;70.945;-34.851;0;15.25;76.2
NODE2-4;71.307;-33.1435;0;13.285;93.4
NODE5-1;74.782;-38.106;0;15.09;79.9
