Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column10;Column11;Column12;Column13;Column14;Column15
Time;soil_moisture_at_depth_0;soil_moisture_at_depth_1;soil_moisture_at_depth_2;soil_moisture_at_depth_3 ;soil_moisture_at_depth_4;soil_moisture_at_depth_5 ;soil_temperature_at_depth_0;soil_temperature_at_depth_1;soil_temperature_at_depth_2;soil_temperature_at_depth_3 ;soil_temperature_at_depth_4 ;soil_temperature_at_depth_5 
2024-04-02 13:20:59;34.8;64.4;61.2;75.8;72.9;73.2;24.4 °C;19.4;18.7;18.5;18.6;18.4
2024-04-02 13:31:02;35.0;64.5;61.2;75.8;72.9;73.1;24.5 °C;19.3;18.6;18.3;18.3;18.2
2024-04-02 13:41:01;35.1;64.6;61.3;75.8;72.9;73.2;24.7 °C;19.3;18.4;18.2;18.2;18.1
2024-04-02 13:50:59;35.2;64.7;61.3;75.8;72.9;73.2;24.9 °C;19.3;18.3;18.1;18.1;17.9
2024-04-02 14:01:02;35.3;64.8;61.3;75.8;72.9;73.2;25.1 °C;19.3;18.3;18;18;17.9
2024-04-02 14:11:00;35.4;64.9;61.3;75.8;72.9;73.2;25.3 °C;19.4;18.3;18;17.9;17.8
2024-04-02 14:21:01;35.4;65.1;61.4;75.8;72.9;73.2;25.5 °C;19.5;18.3;17.9;17.9;17.8
2024-04-02 14:30:59;35.6;65.1;61.4;75.8;72.9;73.2;25.8 °C;19.6;18.3;17.9;17.9;17.8
2024-04-02 14:40:59;35.6;65.2;61.4;75.8;72.9;73.3;26 °C;19.7;18.3;17.8;17.8;17.7
2024-04-02 14:51:03;35.7;65.3;61.5;75.9;72.9;73.3;26.2 °C;19.8;18.3;17.8;17.8;17.6
2024-04-02 15:01:02;35.8;65.4;61.5;75.9;72.9;73.3;26.3 °C;19.9;18.3;17.8;17.8;17.6
2024-04-02 15:11:04;35.8;65.6;61.5;75.9;72.9;73.3;26.3 °C;20.1;18.3;17.8;17.7;17.6
2024-04-02 15:21:01;35.9;65.6;61.6;75.9;73.0;73.3;26.4 °C;20.2;18.3;17.8;17.7;17.6
2024-04-02 15:31:02;35.9;65.7;61.6;75.9;73.0;73.4;26.4 °C;20.3;18.3;17.8;17.7;17.6
2024-04-02 15:41:00;35.9;65.9;61.6;76.0;72.9;73.4;26.4 °C;20.4;18.4;17.8;17.6;17.6
2024-04-02 15:51:05;36.0;65.9;61.7;75.9;73.0;73.4;26.3 °C;20.6;18.4;17.8;17.6;17.5
2024-04-02 16:00:58;36;66.0;61.7;76.0;73.0;73.4;26.3 °C;20.7;18.4;17.7;17.6;17.5
2024-04-02 16:11:00;36.0;66.1;61.7;76.0;73;73.4;26.3 °C;20.8;18.5;17.7;17.6;17.5
2024-04-02 16:21:01;36.0;66.2;61.8;76.0;73.0;73.4;26.3 °C;20.9;18.5;17.7;17.6;17.5
2024-04-02 16:31:02;36.0;66.3;61.8;76.0;73.0;73.4;26.2 °C;21;18.6;17.7;17.6;17.5
2024-04-02 16:41:04;36.1;66.4;61.8;76.0;73.0;73.4;26.1 °C;21.1;18.6;17.7;17.6;17.4
2024-04-02 16:50:58;36.1;66.4;61.9;76.0;73.0;73.4;25.9 °C;21.2;18.7;17.8;17.6;17.4
2024-04-02 17:01:04;36.1;66.5;61.9;76.1;73.1;73.5;25.9 °C;21.3;18.8;17.8;17.6;17.4
2024-04-02 17:11:04;36.1;66.6;61.9;76.1;73.1;73.5;25.8 °C;21.4;18.8;17.8;17.6;17.4
2024-04-02 17:21:05;36.1;66.6;62.0;76.1;73.1;73.5;25.6 °C;21.4;18.8;17.8;17.5;17.4
2024-04-02 17:30:58;36.1;66.7;62.0;76.1;73.1;73.5;25.5 °C;21.5;18.9;17.8;17.5;17.4
2024-04-02 17:41:00;36.1;66.7;62.0;76.1;73.1;73.6;25.4 °C;21.6;18.9;17.8;17.5;17.4
2024-04-02 17:51:05;36.0;66.8;62.1;76.1;73.1;73.6;25.1 °C;21.6;19;17.8;17.5;17.4
