id;X;Y;Z;H;T
21044;631224.28;4493880.38;128.8686;17.4;22.6
21044;631224.28;4493880.38;128.7686;22.6;25.1
21044;631224.28;4493880.38;128.6686;29.9;24.2
21044;631224.28;4493880.38;128.5686;46.3;22.8
21044;631224.28;4493880.38;128.4686;67.5;21.3
21044;631224.28;4493880.38;128.3686;74.0;20.6
21045;631272.69;4493944.52;131.1597;25.8;25.8
21045;631272.69;4493944.52;131.0597;34.9;26.7
21045;631272.69;4493944.52;130.9597;40.4;26.0
21045;631272.69;4493944.52;130.8597;32.2;24.6
21045;631272.69;4493944.52;130.7597;39.0;23.4
21045;631272.69;4493944.52;130.6597;45.4;22.6
21046;631354.72;4494000.51;134.2693;29.8;22.8
21046;631354.72;4494000.51;134.1693;60.5;24.3
21046;631354.72;4494000.51;134.0693;57.6;23.4
21046;631354.72;4494000.51;133.9693;51.3;21.9
21046;631354.72;4494000.51;133.8693;73.9;20.4
21046;631354.72;4494000.51;133.7693;83.9;20.1
21047;631292.79;4493789.97;123.1588;29.7;23.6
21047;631292.79;4493789.97;123.0588;53.5;24.8
21047;631292.79;4493789.97;122.9588;62.1;23.6
21047;631292.79;4493789.97;122.8588;73.1;21.4
21047;631292.79;4493789.97;122.7588;82.7;20.8
21047;631292.79;4493789.97;122.6588;74.3;20.3
21048;631345.01;4493856.80;123.0241;29.8;22.8
21048;631345.01;4493856.80;122.9241;60.5;24.3
21048;631345.01;4493856.80;122.8241;57.6;23.4
21048;631345.01;4493856.80;122.7241;51.3;21.9
21048;631345.01;4493856.80;122.6241;73.9;20.4
21048;631345.01;4493856.80;122.5241;83.9;20.1
21261;631398.15;4493919.99;123.678;25.8;21.0
21261;631398.15;4493919.99;123.578;66.7;24.9
21261;631398.15;4493919.99;123.478;63.7;24.0
21261;631398.15;4493919.99;123.378;78.2;22.3
21261;631398.15;4493919.99;123.278;75.1;21.1
21261;631398.15;4493919.99;123.178;75.2;20.4
21262;631364.35;4493731.37;121.4938;22.6;21.4
21262;631364.35;4493731.37;121.3938;50.5;22.6
21262;631364.35;4493731.37;121.2938;65.1;21.3
21262;631364.35;4493731.37;121.1938;63.5;20.1
21262;631364.35;4493731.37;121.0938;77.0;19.3
21262;631364.35;4493731.37;120.9938;82.9;18.6
21263;631425.03;4493830.60;120.6449;30.1;22.5
21263;631425.03;4493830.60;120.5449;36.4;23.1
21263;631425.03;4493830.60;120.4449;55.0;21.9
21263;631425.03;4493830.60;120.3449;51.6;20.3
21263;631425.03;4493830.60;120.2449;48.6;19.9
21263;631425.03;4493830.60;120.1449;56.2;19.4
21264;631441.52;4493686.85;119.9658;32.1;21.6
21264;631441.52;4493686.85;119.8658;44.7;22.0
21264;631441.52;4493686.85;119.7658;57.9;21.3
21264;631441.52;4493686.85;119.6658;58.4;20.1
21264;631441.52;4493686.85;119.5658;43.3;19.5
21264;631441.52;4493686.85;119.4658;58.8;18.4
21265;631507.31;4493756.11;117.3928;29.2;23.3
21265;631507.31;4493756.11;117.2928;34.3;23.2
21265;631507.31;4493756.11;117.1928;38.4;22.2
21265;631507.31;4493756.11;117.0928;45.1;20.9
21265;631507.31;4493756.11;116.9928;60.4;19.9
21265;631507.31;4493756.11;116.8928;78.0;19.4
