Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column10;Column11;Column12;Column13;Column14;Column15
Time;soil_moisture_at_depth_0;soil_moisture_at_depth_1;soil_moisture_at_depth_2;soil_moisture_at_depth_3 ;soil_moisture_at_depth_4;soil_moisture_at_depth_5 ;soil_temperature_at_depth_0;soil_temperature_at_depth_1;soil_temperature_at_depth_2;soil_temperature_at_depth_3 ;soil_temperature_at_depth_4 ;soil_temperature_at_depth_5 
2024-04-02 13:26:28;15.1;30.5;36.0;43.4;59.1;76.9;25.3 °C;22.4;22.1;21.3;20.1;19.4
2024-04-02 13:36:31;15.1;30.6;36.0;43.4;58.9;76.8;23.4 °C;20.4;20.1;19.6;18.8;18.3
2024-04-02 13:46:24;15.2;30.6;36;43.3;58.9;76.7;22.3 °C;19.4;19.1;18.7;18.1;17.8
2024-04-02 13:56:26;15.2;30.6;36.0;43.3;58.8;76.6;21.6 °C;18.8;18.4;18.1;17.8;17.4
2024-04-02 14:06:27;15.2;30.7;36.0;43.3;58.8;76.6;21.2 °C;18.4;18.1;17.8;17.5;17.3
2024-04-02 14:16:25;15.2;30.8;36.0;43.3;58.8;76.5;21.1 °C;18.1;17.9;17.6;17.4;17.1
2024-04-02 14:26:24;15.2;30.8;36.0;43.3;58.8;76.5;21 °C;18;17.7;17.5;17.3;17
2024-04-02 14:36:26;15.2;30.9;36.0;43.3;58.8;76.5;21 °C;17.9;17.6;17.4;17.1;16.9
2024-04-02 14:46:30;15.3;30.9;36.0;43.3;58.7;76.5;21.1 °C;17.9;17.5;17.3;17.1;16.8
2024-04-02 14:56:30;15.3;30.9;36.0;43.3;58.8;76.5;21.1 °C;17.9;17.4;17.2;17;16.8
2024-04-02 15:06:30;15.3;31.0;36.1;43.3;58.8;76.5;21.2 °C;17.9;17.4;17.1;16.9;16.8
2024-04-02 15:16:30;15.3;31.0;36.1;43.3;58.8;76.5;21.3 °C;17.9;17.4;17.1;16.9;16.7
2024-04-02 15:26:26;15.3;31.1;36.1;43.3;58.8;76.5;21.3 °C;17.9;17.4;17.1;16.8;16.6
