X;Y;Z;w
m;m;m; 
R+;R+;R+;R+
;;; 
Coordinate X;Coordinate Y;Coordinate Z;Soil moisture
;;; 
100;166;0;18.4449
100;206;0;10.6729
100;226;0;7.0369
200;140;0;19.8458
200;180;0;12.5738
200;200;0;8.9378
300;103;0;21.7467
300;143;0;14.4747
300;163;0;10.8387
350;88;0;22.6967
350;128;0;14.9247
350;148;0;11.2887
400;79;0;22.6476
400;119;0;15.8756
400;139;0;11.7396
500;63;0;23.5485
500;103;0;16.2765
500;123;0;12.6405
600;47;0;23.4494
600;87;0;16.1774
600;107;0;12.5414
700;37;0;23.8503
700;77;0;16.5783
700;97;0;12.9423
800;27;0;24.2512
800;67;0;16.4792
800;87;0;12.8432
900;24;0;24.1521
900;64;0;16.8801
900;84;0;13.2441
