Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column10;Column11;Column12;Column13;Column14;Column15
Time;soil_moisture_at_depth_0;soil_moisture_at_depth_1;soil_moisture_at_depth_2;soil_moisture_at_depth_3 ;soil_moisture_at_depth_4;soil_moisture_at_depth_5 ;soil_temperature_at_depth_0;soil_temperature_at_depth_1;soil_temperature_at_depth_2;soil_temperature_at_depth_3 ;soil_temperature_at_depth_4 ;soil_temperature_at_depth_5 
2024-04-02 15:02:47;20.3;17.2;23.3;39.6;63.3;71.3;29.9 °C;23.1;20.6;20;19.3;18.8
2024-04-02 15:12:49;20.3;17.3;23.4;39.7;63.3;71.3;29.8 °C;22.8;20.3;19.8;19.1;18.6
2024-04-02 15:22:52;20.4;17.3;23.5;39.7;63.3;71.3;29.6 °C;22.6;20.1;19.6;18.9;18.5
2024-04-02 15:32:51;20.4;17.3;23.5;39.8;63.3;71.3;29.6 °C;22.4;19.9;19.4;18.8;18.4
2024-04-02 15:42:49;20.5;17.3;23.6;39.8;63.3;71.3;29.4 °C;22.3;19.7;19.3;18.6;18.3
2024-04-02 15:52:45;20.5;17.4;23.6;39.9;63.3;71.3;29.4 °C;22.2;19.6;19.2;18.6;18.2
2024-04-02 16:02:50;20.5;17.5;23.7;39.9;63.3;71.3;29.3 °C;22.2;19.5;19.1;18.4;18.1
2024-04-02 16:12:51;20.6;17.5;23.8;40.0;63.3;71.3;29.3 °C;22.1;19.4;19;18.4;18.1
2024-04-02 16:22:52;20.5;17.5;23.8;40.0;63.3;71.3;29.2 °C;22.1;19.4;18.9;18.3;18
2024-04-02 16:32:51;20.6;17.6;23.9;40.1;63.3;71.3;29.1 °C;22.1;19.4;18.9;18.3;17.9
2024-04-02 16:42:45;20.6;17.6;23.9;40.1;63.3;71.3;29 °C;22.1;19.4;18.8;18.3;17.9
2024-04-02 16:52:49;20.6;17.6;24.0;40.1;63.3;71.3;28.8 °C;22.1;19.3;18.8;18.2;17.9
2024-04-02 17:02:50;20.7;17.7;24.0;40.1;63.3;71.3;28.7 °C;22.2;19.3;18.8;18.1;17.9
2024-04-02 17:12:50;20.7;17.7;24.0;40.2;63.3;71.3;28.6 °C;22.2;19.3;18.8;18.1;17.8
2024-04-02 17:22:47;20.7;17.8;24.1;40.2;63.3;71.3;28.4 °C;22.3;19.3;18.7;18.1;17.8
2024-04-02 17:32:45;20.7;17.8;24.1;40.3;63.3;71.3;28.3 °C;22.3;19.4;18.7;18.1;17.8
2024-04-02 17:42:50;20.7;17.8;24.1;40.3;63.3;71.3;28.2 °C;22.3;19.4;18.7;18;17.8
2024-04-02 17:52:50;20.7;17.8;24.2;40.4;63.3;71.4;27.9 °C;22.3;19.4;18.6;18;17.7
2024-04-02 18:02:48;20.7;17.9;24.2;40.4;63.3;71.4;27.5 °C;22.3;19.4;18.6;18;17.7
2024-04-02 18:12:51;20.7;17.9;24.3;40.4;63.4;71.4;27.1 °C;22.3;19.4;18.6;17.9;17.7
2024-04-02 18:22:46;20.7;17.9;24.3;40.4;63.4;71.4;26.7 °C;22.3;19.4;18.6;17.9;17.6
2024-04-02 18:32:52;20.6;18.0;24.3;40.5;63.4;71.4;26.3 °C;22.4;19.5;18.6;17.9;17.6
2024-04-02 18:42:51;20.6;17.9;24.4;40.5;63.4;71.4;25.8 °C;22.3;19.5;18.6;17.9;17.6
2024-04-02 18:52:52;20.6;18.0;24.4;40.5;63.4;71.4;25.4 °C;22.3;19.6;18.6;17.9;17.6
2024-04-02 19:02:51;20.5;18.0;24.4;40.6;63.4;71.4;24.9 °C;22.3;19.6;18.6;17.9;17.6
2024-04-02 19:12:46;20.5;18.0;24.5;40.6;63.4;71.4;24.4 °C;22.3;19.6;18.6;17.9;17.6
2024-04-02 19:22:50;20.5;18.1;24.5;40.6;63.4;71.4;24 °C;22.3;19.6;18.6;17.9;17.6
2024-04-02 19:32:51;20.5;18.1;24.5;40.6;63.5;71.4;23.6 °C;22.2;19.7;18.6;17.9;17.6
2024-04-02 19:42:46;20.5;18.1;24.6;40.7;63.5;71.4;23.2 °C;22.2;19.7;18.7;17.9;17.6
2024-04-02 19:52:47;20.4;18.1;24.6;40.7;63.5;71.5;22.8 °C;22.1;19.7;18.7;17.9;17.6
2024-04-02 20:02:52;20.4;18.1;24.6;40.7;63.5;71.5;22.4 °C;22.1;19.8;18.7;17.9;17.5
2024-04-02 20:12:47;20.4;18.1;24.6;40.8;63.5;71.5;22.1 °C;22;19.8;18.7;17.8;17.5
2024-04-02 20:22:49;20.4;18.1;24.7;40.8;63.5;71.5;21.8 °C;21.9;19.8;18.7;17.8;17.5
2024-04-02 20:32:46;20.4;18.2;24.7;40.8;63.5;71.5;21.4 °C;21.9;19.8;18.7;17.8;17.5
