sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5;LOI;v;cr;co;ni;cu;zn;ga;rb;sr;y;zr;nb;ba;la;ce;sc;pb;th;as;s
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm;ppm
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5;LOI;V;Cr;Co;Ni;Cu;Zn;Ga;Rb;Sr;Y;Zr;Nb;Ba;La;Ce;Sc;Pb;Th;As;S
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reno001;704050.96;4915166.82;0;57107.66;40309.55;44.359324;11.559543;40.72;0.5;12.19;5.73;0.19;3.39;14.79;0.66;2.02;0.1;19.71;96;112;21;84;24;105;9;112;341;19;109;8;438;27;53;23;18;9;20;730
Reno002;703211.21;4914672.87;0;56267.91;39815.6;44.355117;11.548823;47.82;0.56;14.18;5.53;0.13;2.97;10.15;0.63;2.3;0.08;15.65;86;100;16;64;23;96;14;111;284;22;113;11;414;27;55;18;17;5;10;870
Reno003;704043.9;4913712.83;0;57100.6;38855.56;44.346249;11.558885;41.84;0.5;13.58;4.64;0.08;2.89;9.17;0.56;1.99;0.08;24.67;92;96;13;58;0;81;8;118;306;24;123;11;277;30;58;15;9;8;6;890
Reno004;703151.94;4913582.85;0;56208.64;38725.58;44.34533;11.547655;48.14;0.64;16.82;6.14;0.08;2.99;6.13;0.49;2.71;0.06;15.8;114;112;19;62;20;101;15;142;243;24;107;11;351;34;71;19;19;6;4;490
Reno005;701222.87;4914409.05;0;54279.57;39551.78;44.353298;11.523796;48.96;0.55;13.71;5.45;0.13;2.97;10.4;0.71;2.25;0.08;14.79;75;80;13;58;23;92;10;102;264;26;130;10;568;30;61;13;17;4;3;810
Reno006;702875.88;4912788.86;0;55932.58;37931.59;44.338266;11.543886;45.66;0.6;14.8;5.65;0.12;2.97;10.3;0.53;2.28;0.07;17.02;95;94;19;61;11;87;10;108;259;20;119;12;348;32;60;20;14;10;3;660
Reno007;702875.93;4911897.82;0;55932.63;37040.55;44.330252;11.54354;44.05;0.59;15.83;6;0.15;2.99;8.85;0.41;2.57;0.08;18.48;102;94;17;57;13;90;11;120;221;24;104;11;273;35;65;18;16;8;2;460
Reno008;702049.91;4912140.97;0;55106.61;37283.7;44.332669;11.533284;46.75;0.6;15.37;5.61;0.11;2.97;8.88;0.51;2.41;0.07;16.72;98;99;17;61;17;99;10;120;267;22;118;11;380;29;55;19;15;9;3;540
Reno009;700557.89;4912740.09;0;53614.59;37882.82;44.338471;11.514818;43.53;0.57;14.28;6.05;0.13;2.85;13.92;0.45;2.4;0.06;15.76;85;84;12;55;23;96;12;112;374;20;102;10;371;30;63;16;17;4;3;119
Reno010;701530.92;4911476.96;0;54587.62;36619.69;44.326841;11.526524;46.62;0.53;14.51;5.03;0.11;2.8;9.26;0.57;2.23;0.07;18.27;84;90;15;56;15;79;10;112;280;23;124;10;382;26;53;14;15;6;3;700
Reno011;700270.91;4910676.08;0;53327.61;35818.81;44.319986;11.510429;45.7;0.54;13.93;5.33;0.14;2.62;11.87;0.52;2.21;0.05;17.09;88;92;16;54;20;81;13;108;275;21;117;11;337;28;57;19;11;7;4;700
Reno012;699670.84;4910158.08;0;52727.54;35300.81;44.315492;11.502713;41.95;0.57;14.44;5.31;0.12;3.11;10.96;0.51;2.36;0.07;20.6;103;97;14;62;12;88;11;130;398;23;102;11;294;25;53;18;14;3;3;470
Reno013;700578.9;4908617.99;0;53635.6;33760.72;44.30139;11.513497;44.06;0.58;14.86;5.58;0.12;3.28;10.75;0.53;2.5;0.07;17.67;108;109;18;67;13;88;15;132;373;21;95;12;314;29;61;20;16;8;3;680
Reno014;699022.84;4910417.17;0;52079.54;35559.9;44.318;11.494694;46.55;0.55;14.24;5.16;0.13;3.02;10.84;0.56;2.28;0.07;16.6;83;102;16;65;17;84;9;107;284;24;136;11;364;28;57;18;13;5;6;640
Reno015;698333.86;4911000.27;0;51390.56;36143;44.323433;11.486284;52.33;0.51;14.08;4.83;0.12;2.72;9.37;0.79;2.43;0.08;12.74;74;83;12;53;17;80;10;106;260;26;163;8;537;32;63;17;21;6;4;750
Reno016;698157.89;4911784.2;0;51214.59;36926.93;44.330532;11.484377;49.32;0.53;13.68;5.19;0.12;2.77;10.55;0.76;2.35;0.08;14.65;83;94;12;59;19;83;11;111;298;26;140;10;546;32;61;18;13;4;2;990
Reno017;698365.88;4910563.19;0;51422.58;35705.92;44.319493;11.486519;48.64;0.51;13.92;4.67;0.15;3.05;11.77;0.74;2.35;0.09;14.11;74;96;11;62;19;79;10;104;278;24;148;9;627;32;67;19;15;7;3;700
Reno018;698219.87;4910174.2;0;51276.57;35316.93;44.316034;11.484542;47.7;0.6;16.47;6.23;0.09;2.65;6.5;0.4;2.42;0.07;16.87;105;96;22;55;19;104;12;121;205;22;110;11;246;29;63;19;14;9;2;530
Reno019;698171.82;4908991.24;0;51228.52;34133.97;44.305407;11.483491;47.78;0.65;16.39;6.28;0.15;3.09;7.01;0.54;2.61;0.08;15.42;111;96;21;58;17;96;14;133;240;24;126;13;337;30;66;17;16;10;3;350
Reno020;697652.88;4910190.28;0;50709.58;35333.01;44.316333;11.477445;44.94;0.55;14.38;5.33;0.12;2.78;11.27;0.47;2.17;0.06;17.93;89;94;18;60;17;83;13;110;295;22;128;12;519;31;64;19;14;7;3;820
