sample;E;N;Z;E_rel;N_rel;Lat;Long;sio2;tio2;al2o3;fe2o3;mno;mgo;cao;na2o;k2o;p2o5
;m;m;m;m;m;deg;deg;perc;perc;perc;perc;perc;perc;perc;perc;perc;perc
V;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+;R+
;;;;;;;;;;;;;;;;;
Sample;Easting;Northing;Heigth;Easting_rel;Northing_rel;Latitude;Longitude;SiO2;TiO2;Al2O3;Fe2O3;MnO;MgO;CaO;Na2O;K2O;P2O5
;;;;;;;;;;;;;;;;;
Reno001;704050.96;4915166.82;0;57107.66;40309.55;44.359324;11.559543;40.72;0.5;12.19;5.73;0.19;3.39;14.79;0.66;2.02;0.1
Reno002;703211.21;4914672.87;0;56267.91;39815.6;44.355117;11.548823;47.82;0.56;14.18;5.53;0.13;2.97;10.15;0.63;2.3;0.08
Reno003;704043.9;4913712.83;0;57100.6;38855.56;44.346249;11.558885;41.84;0.5;13.58;4.64;0.08;2.89;9.17;0.56;1.99;0.08
Reno004;703151.94;4913582.85;0;56208.64;38725.58;44.34533;11.547655;48.14;0.64;16.82;6.14;0.08;2.99;6.13;0.49;2.71;0.06
Reno005;701222.87;4914409.05;0;54279.57;39551.78;44.353298;11.523796;48.96;0.55;13.71;5.45;0.13;2.97;10.4;0.71;2.25;0.08
Reno006;702875.88;4912788.86;0;55932.58;37931.59;44.338266;11.543886;45.66;0.6;14.8;5.65;0.12;2.97;10.3;0.53;2.28;0.07
Reno007;702875.93;4911897.82;0;55932.63;37040.55;44.330252;11.54354;44.05;0.59;15.83;6;0.15;2.99;8.85;0.41;2.57;0.08
Reno008;702049.91;4912140.97;0;55106.61;37283.7;44.332669;11.533284;46.75;0.6;15.37;5.61;0.11;2.97;8.88;0.51;2.41;0.07
Reno009;700557.89;4912740.09;0;53614.59;37882.82;44.338471;11.514818;43.53;0.57;14.28;6.05;0.13;2.85;13.92;0.45;2.4;0.06
Reno010;701530.92;4911476.96;0;54587.62;36619.69;44.326841;11.526524;46.62;0.53;14.51;5.03;0.11;2.8;9.26;0.57;2.23;0.07
Reno011;700270.91;4910676.08;0;53327.61;35818.81;44.319986;11.510429;45.7;0.54;13.93;5.33;0.14;2.62;11.87;0.52;2.21;0.05
Reno012;699670.84;4910158.08;0;52727.54;35300.81;44.315492;11.502713;41.95;0.57;14.44;5.31;0.12;3.11;10.96;0.51;2.36;0.07
Reno013;700578.9;4908617.99;0;53635.6;33760.72;44.30139;11.513497;44.06;0.58;14.86;5.58;0.12;3.28;10.75;0.53;2.5;0.07
Reno014;699022.84;4910417.17;0;52079.54;35559.9;44.318;11.494694;46.55;0.55;14.24;5.16;0.13;3.02;10.84;0.56;2.28;0.07
