X;Y;Z;S;A;Q;C
1416683.679219;4856681.793857;-0.25;447.529995;0.123009;228.593891;1
1416684.054939;4856681.463956;-0.25;443.983406;0.130875;213.152554;1
1416684.430659;4856681.134056;-0.25;440.809913;0.143104;193.543649;1
1416684.806379;4856680.804155;-0.25;437.415192;0.150976;182.039004;1
1416685.182099;4856680.474254;-0.25;431.84054;0.165164;164.281636;1
1416685.557819;4856680.144354;-0.25;424.963644;0.177545;150.391561;1
1416685.933539;4856679.814453;-0.25;417.389107;0.191983;136.602191;1
1416686.309259;4856679.484553;-0.25;410.278158;0.197584;130.46846;1
1416686.68498;4856679.154652;-0.25;393.790443;0.206796;119.647176;1
1416687.0607;4856678.824751;-0.25;392.888587;0.20452;120.701787;1
1416687.43642;4856678.494851;-0.25;393.462986;0.207598;119.085847;1
1416687.81214;4856678.16495;-0.25;397.210827;0.207817;120.093403;1
1416688.18786;4856677.83505;-0.25;405.380294;0.208962;121.891773;1
1416688.56358;4856677.505149;-0.25;418.871081;0.209832;125.426382;1
1416688.9393;4856677.175249;-0.25;435.624186;0.223118;122.675275;1
1416689.31502;4856676.845348;-0.25;469.991548;0.229716;128.551895;1
1416689.690741;4856676.515447;-0.25;486.574032;0.239657;127.567004;1
1416690.066461;4856676.185547;-0.25;502.843734;0.235815;133.980188;1
1416690.442181;4856675.855646;-0.25;517.058611;0.235558;137.918354;1
1416690.817901;4856675.525746;-0.25;524.734925;0.239874;137.44743;1
1416691.193621;4856675.195845;-0.25;518.938731;0.240608;135.514762;1
1416691.569341;4856674.865944;-0.25;497.867359;0.229637;136.223474;1
1416691.945061;4856674.536044;-0.25;452.506543;0.209502;135.711454;1
1416692.320781;4856674.206143;-0.25;412.822748;0.195415;132.735339;1
1416692.696501;4856673.876243;-0.25;393.835748;0.198759;124.49936;1
1416693.072222;4856673.546342;-0.25;364.660276;0.200881;114.058802;1
1416693.447942;4856673.216441;-0.25;340.816757;0.19847;107.896107;1
1416693.823662;4856672.886541;-0.25;321.70868;0.199355;101.394572;1
1416694.199382;4856672.55664;-0.25;311.605346;0.212912;91.957175;1
1416694.575102;4856672.22674;-0.25;320.827178;0.228189;88.339903;1
1416694.950822;4856671.896839;-0.25;334.498619;0.271415;77.435569;1
1416695.326542;4856671.566939;-0.25;333.895631;0.288435;72.734968;1
1416695.702262;4856671.237038;-0.25;347.191037;0.294549;74.06132;1
1416696.077982;4856670.907137;-0.25;361.774137;0.289784;78.440885;1
1416696.453703;4856670.577237;-0.25;376.361929;0.300227;78.765452;1
1416696.829423;4856670.247336;-0.25;397.145137;0.297844;83.780077;1
1416697.205143;4856669.917436;-0.25;400.724539;0.290806;86.581032;1
1416697.580863;4856669.587535;-0.25;386.244789;0.244115;99.413946;1
1416697.956583;4856669.257634;-0.25;386.216503;0.217657;111.490574;1
1416698.332303;4856668.927734;-0.25;374.834426;0.194432;121.129917;1
1416698.708023;4856668.597833;-0.25;364.005649;0.180806;126.49542;1
1416699.083743;4856668.267933;-0.25;356.246127;0.155365;144.071191;1
1416699.459463;4856667.938032;-0.25;339.498395;0.125512;169.954314;1
1416699.835184;4856667.608132;-0.25;325.791638;0.108202;189.184294;1
1416700.210904;4856667.278231;-0.25;328.316474;0.103961;198.428489;1
1416700.586624;4856666.94833;-0.25;326.24953;0.098618;207.860403;1
1416700.962344;4856666.61843;-0.25;323.223842;0.091545;221.845101;1
1416701.338064;4856666.288529;-0.25;324.822508;0.089076;229.121366;1
1416701.713784;4856665.958629;-0.25;325.299656;0.086039;237.557511;1
1416702.089504;4856665.628728;-0.25;320.523573;0.094245;213.689073;1
1416702.465224;4856665.298827;-0.25;320.022684;0.101254;198.586613;1
1416702.840944;4856664.968927;-0.25;308.849038;0.110904;174.975782;1
1416703.216665;4856664.639026;-0.25;303.846795;0.109867;173.767459;1
1416703.592385;4856664.309126;-0.25;300.080917;0.130394;144.597639;1
1416703.968105;4856663.979225;-0.25;287.494459;0.149644;120.711531;1
1416704.343825;4856663.649324;-0.25;276.626833;0.16964;102.457826;1
1416704.719545;4856663.319424;-0.25;274.083642;0.185166;93.004207;1
1416705.095265;4856662.989523;-0.25;279.144965;0.202439;86.639222;1
1416705.470985;4856662.659623;-0.25;289.750784;0.21629;84.171968;1
1416705.846705;4856662.329722;-0.25;298.091058;0.236153;79.311423;1
1416706.222425;4856661.999822;-0.25;312.411842;0.232791;84.321948;1
1416706.598146;4856661.669921;-0.25;337.726305;0.23022;92.172451;1
1416706.973866;4856661.34002;-0.25;368.890623;0.237694;97.512412;1
1416707.349586;4856661.01012;-0.25;402.621842;0.245121;103.203938;1
1416707.725306;4856660.680219;-0.25;415.098075;0.236424;110.316287;1
1416708.101026;4856660.350319;-0.25;422.759047;0.225754;117.662466;1
1416708.476746;4856660.020418;-0.25;412.903028;0.213826;121.329719;1
1416708.852466;4856659.690517;-0.25;399.979098;0.210803;119.217354;1
1416709.228186;4856659.360617;-0.25;386.296734;0.19881;122.084928;1
1416709.603906;4856659.030716;-0.25;363.03839;0.172171;132.48674;1
1416709.979627;4856658.700816;-0.25;343.165074;0.145633;148.055185;1
1416710.355347;4856658.370915;-0.25;341.476786;0.130347;164.604121;1
1416710.731067;4856658.041015;-0.25;343.036628;0.113943;189.16119;1
1416711.106787;4856657.711114;-0.25;354.109586;0.101814;218.529688;1
1416711.482507;4856657.381213;-0.25;367.59559;0.090231;255.974425;1
1416711.858227;4856657.051313;-0.25;380.637675;0.082396;290.260233;1
1416712.233947;4856656.721412;-0.25;404.871136;0.076752;331.441549;1
1416712.609667;4856656.391512;-0.25;433.42813;0.070631;385.565837;1
1416712.985387;4856656.061611;-0.25;444.934286;0.067992;411.164214;1
1416713.361108;4856655.73171;-0.25;455.547382;0.064026;447.053774;1
1416713.736828;4856655.40181;-0.25;463.705501;0.060251;483.568234;1
1416714.112548;4856655.071909;-0.25;468.299847;0.058459;503.333067;1
1416714.488268;4856654.742009;-0.25;472.892524;0.056532;525.590086;1
1416714.863988;4856654.412108;-0.25;479.214431;0.052571;572.74841;1
1416684.430659;4856681.134056;-0.75;450.622877;0.131124;215.929362;1
1416684.806379;4856680.804155;-0.75;448.151122;0.137223;205.199842;1
1416685.182099;4856680.474254;-0.75;446.110816;0.148917;188.224897;1
1416685.557819;4856680.144354;-0.75;442.860246;0.159456;174.503738;1
1416685.933539;4856679.814453;-0.75;438.52684;0.171859;160.326373;1
1416686.309259;4856679.484553;-0.75;433.497172;0.175959;154.794436;1
1416686.68498;4856679.154652;-0.75;420.776563;0.185058;142.864155;1
1416687.0607;4856678.824751;-0.75;420.928277;0.183979;143.753597;1
1416687.43642;4856678.494851;-0.75;422.752316;0.187232;141.868728;1
