id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
562;1623567.195;4840659.1453;18;;castanea;1;0
127;1623567.195;4843659.1453;20;;castanea;1;0
128;1623767.195;4843659.1453;20;;castanea;1;0
156;1623567.195;4843459.1453;20;;castanea;1;0
504;1623567.195;4841059.1453;26;;castanea;1;0
565;1624167.195;4840659.1453;27;;castanea;1;0
570;1625167.195;4840659.1453;27;;castanea;1;0
97;1623367.195;4843859.1453;28;;castanea;1;0
220;1624767.195;4843059.1453;29;;castanea;1;0
222;1625167.195;4843059.1453;29;;castanea;1;0
250;1624967.195;4842859.1453;29;;castanea;1;0
280;1625167.195;4842659.1453;29;;castanea;1;0
281;1625367.195;4842659.1453;29;;castanea;1;0
309;1625167.195;4842459.1453;29;;castanea;1;0
310;1625367.195;4842459.1453;29;;castanea;1;0
337;1624967.195;4842259.1453;29;;castanea;1;0
339;1625367.195;4842259.1453;29;;castanea;1;0
340;1625567.195;4842259.1453;29;;castanea;1;0
368;1625367.195;4842059.1453;29;;castanea;1;0
369;1625567.195;4842059.1453;29;;castanea;1;0
395;1624967.195;4841859.1453;29;;castanea;1;0
396;1625167.195;4841859.1453;29;;castanea;1;0
397;1625367.195;4841859.1453;29;;castanea;1;0
425;1625167.195;4841659.1453;29;;castanea;1;0
426;1625367.195;4841659.1453;29;;castanea;1;0
427;1625567.195;4841659.1453;29;;castanea;1;0
428;1625767.195;4841659.1453;29;;castanea;1;0
454;1625167.195;4841459.1453;29;;castanea;1;0
457;1625767.195;4841459.1453;29;;castanea;1;0
483;1625167.195;4841259.1453;29;;castanea;1;0
484;1625367.195;4841259.1453;29;;castanea;1;0
485;1625567.195;4841259.1453;29;;castanea;1;0
511;1624967.195;4841059.1453;29;;castanea;1;0
514;1625567.195;4841059.1453;29;;castanea;1;0
394;1624767.195;4841859.1453;41;;altre_latifoglie;2;0
363;1624367.195;4842059.1453;41;;altre_latifoglie;2;0
267;1622567.195;4842659.1453;49;;altre_latifoglie;2;0
596;1624567.195;4840459.1453;53;;altre_latifoglie;2;0
592;1623767.195;4840459.1453;53;;altre_latifoglie;2;0
741;1624567.195;4839459.1453;53;;altre_latifoglie;2;0
767;1623967.195;4839259.1453;53;;altre_latifoglie;2;0
591;1623567.195;4840459.1453;54;;macchia_a_leccio;3;0
764;1623367.195;4839259.1453;56;;macchia_a_leccio;3;0
612;1621967.195;4840259.1453;56;;macchia_a_leccio;3;0
613;1622167.195;4840259.1453;56;;macchia_a_leccio;3;0
641;1621967.195;4840059.1453;56;;macchia_a_leccio;3;0
642;1622167.195;4840059.1453;56;;macchia_a_leccio;3;0
643;1622367.195;4840059.1453;56;;macchia_a_leccio;3;0
673;1622567.195;4839859.1453;56;;macchia_a_leccio;3;0
674;1622767.195;4839859.1453;56;;macchia_a_leccio;3;0
703;1622767.195;4839659.1453;56;;macchia_a_leccio;3;0
704;1622967.195;4839659.1453;56;;macchia_a_leccio;3;0
733;1622967.195;4839459.1453;56;;macchia_a_leccio;3;0
734;1623167.195;4839459.1453;56;;macchia_a_leccio;3;0
763;1623167.195;4839259.1453;56;;macchia_a_leccio;3;0
792;1623167.195;4839059.1453;56;;macchia_a_leccio;3;0
793;1623367.195;4839059.1453;56;;macchia_a_leccio;3;0
614;1622367.195;4840259.1453;59;;macchia_a_sughera;4;0
644;1622567.195;4840059.1453;59;;macchia_a_sughera;4;0
675;1622967.195;4839859.1453;59;;macchia_a_sughera;4;0
516;1625967.195;4841059.1453;74;;bosco_misto_di_pino_e_castagno;5;0
561;1623367.195;4840659.1453;80;;bosco_misto_di_pino_e_castagno;5;0
566;1624367.195;4840659.1453;81;;bosco_misto_di_pino_e_castagno;5;0
537;1624367.195;4840859.1453;81;;bosco_misto_di_pino_e_castagno;5;0
248;1624567.195;4842859.1453;85;;bosco_misto_di_pino_e_castagno;5;0
190;1624567.195;4843259.1453;87;;bosco_misto_di_pino_e_castagno;5;0
191;1624767.195;4843259.1453;87;;bosco_misto_di_pino_e_castagno;5;0
192;1624967.195;4843259.1453;87;;bosco_misto_di_pino_e_castagno;5;0
221;1624967.195;4843059.1453;87;;bosco_misto_di_pino_e_castagno;5;0
249;1624767.195;4842859.1453;87;;bosco_misto_di_pino_e_castagno;5;0
132;1624567.195;4843659.1453;87;;bosco_misto_di_pino_e_castagno;5;0
133;1624767.195;4843659.1453;87;;bosco_misto_di_pino_e_castagno;5;0
161;1624567.195;4843459.1453;87;;bosco_misto_di_pino_e_castagno;5;0
163;1624967.195;4843459.1453;87;;bosco_misto_di_pino_e_castagno;5;0
218;1624367.195;4843059.1453;87;;bosco_misto_di_pino_e_castagno;5;0
308;1624967.195;4842459.1453;88;;bosco_misto_di_pino_e_castagno;5;0
424;1624967.195;4841659.1453;89;;bosco_misto_di_pino_e_castagno;5;0
455;1625367.195;4841459.1453;89;;bosco_misto_di_pino_e_castagno;5;0
481;1624767.195;4841259.1453;89;;bosco_misto_di_pino_e_castagno;5;0
482;1624967.195;4841259.1453;89;;bosco_misto_di_pino_e_castagno;5;0
155;1623367.195;4843459.1453;91;;bosco_misto_di_pino_e_castagno;5;0
38;1623167.195;4844259.1453;91;;bosco_misto_di_pino_e_castagno;5;0
69;1623567.195;4844059.1453;91;;bosco_misto_di_pino_e_castagno;5;0
70;1623767.195;4844059.1453;91;;bosco_misto_di_pino_e_castagno;5;0
99;1623767.195;4843859.1453;91;;bosco_misto_di_pino_e_castagno;5;0
183;1623167.195;4843259.1453;91;;bosco_misto_di_pino_e_castagno;5;0
185;1623567.195;4843259.1453;91;;bosco_misto_di_pino_e_castagno;5;0
39;1623367.195;4844259.1453;94;;pineta;6;0
40;1623567.195;4844259.1453;94;;pineta;6;0
126;1623367.195;4843659.1453;105;;pineta;6;0
162;1624767.195;4843459.1453;117;;pineta;6;0
276;1624367.195;4842659.1453;120;;pineta;6;0
153;1622967.195;4843459.1453;121;;pineta;6;0
154;1623167.195;4843459.1453;121;;pineta;6;0
