id;xcoord;ycoord;fid;castanea;vege;cat_vege;z_coord
;m;m;;;;;m
V;R;R;;;V;K;A
;;;;;;; 
id_cat;x;y;;;name_vegetation;category;absolute_depth
;;;;;;; 
38;1624388.81934045;4843080.13156204;2;;castanea;1;0
232;1624447.02928609;4843096.02829831;2;;castanea;1;0
516;1624741.37075276;4843213.67451497;2;;castanea;1;0
61;1623332.65069392;4843434.09456101;20;;castanea;1;0
797;1623772.17482696;4843638.57040028;20;;castanea;1;0
849;1623251.69025033;4843373.45876168;20;;castanea;1;0
852;1623569.08857738;4843641.27608339;20;;castanea;1;0
975;1623627.51124602;4843582.97567328;20;;castanea;1;0
362;1623472.08514177;4841170.80351092;26;;castanea;1;0
915;1623483.78002284;4841110.12177208;26;;castanea;1;0
735;1625442.59892299;4840691.00529982;27;;castanea;1;0
196;1623281.72613089;4843848.15345567;28;;castanea;1;0
3;1625070.94927383;4841380.2618003;29;;castanea;1;0
31;1625102.4050603;4842447.15722933;29;;castanea;1;0
42;1625333.41231156;4842980.99691907;29;;castanea;1;0
48;1624837.90163339;4843098.21551977;29;;castanea;1;0
72;1625474.13337337;4842053.11276589;29;;castanea;1;0
75;1625377.10646262;4842140.61219924;29;;castanea;1;0
77;1625143.25914317;4841537.14960867;29;;castanea;1;0
128;1625091.36889818;4843281.34630875;29;;castanea;1;0
135;1625423.01594401;4842200.07361215;29;;castanea;1;0
154;1625300.50726639;4842027.9063476;29;;castanea;1;0
162;1625641.26057213;4841586.01885811;29;;castanea;1;0
170;1625441.63958058;4842098.09806418;29;;castanea;1;0
186;1625806.0324696;4841369.79699335;29;;castanea;1;0
192;1625366.71031891;4841323.4958931;29;;castanea;1;0
205;1625599.44829154;4841697.72923285;29;;castanea;1;0
206;1625185.33495845;4842657.0844032;29;;castanea;1;0
228;1625364.02891236;4842420.37962347;29;;castanea;1;0
238;1625453.0341033;4841583.51492632;29;;castanea;1;0
240;1625175.21861806;4842306.0828472;29;;castanea;1;0
252;1625137.01523648;4842508.18981339;29;;castanea;1;0
289;1625378.15162614;4841243.72976163;29;;castanea;1;0
297;1625403.56434342;4842557.61935873;29;;castanea;1;0
305;1625195.01476515;4841344.69728428;29;;castanea;1;0
311;1625457.98177151;4841658.62932788;29;;castanea;1;0
312;1624756.91017727;4842328.62139095;29;;castanea;1;0
320;1625134.6132121;4841242.60512438;29;;castanea;1;0
342;1625369.86401994;4841886.37809744;29;;castanea;1;0
374;1625236.1384607;4841448.25746775;29;;castanea;1;0
378;1625217.41234887;4841504.50404641;29;;castanea;1;0
381;1625554.05171853;4842314.03365216;29;;castanea;1;0
385;1625574.2977892;4841272.78902343;29;;castanea;1;0
425;1625200.65386749;4843138.1745444;29;;castanea;1;0
437;1625544.18385899;4842019.1356164;29;;castanea;1;0
443;1624602.84616929;4842925.71901998;29;;castanea;1;0
474;1624940.00319051;4841846.37976873;29;;castanea;1;0
504;1624878.65372186;4842383.072522;29;;castanea;1;0
514;1625205.38716294;4841340.09544777;29;;castanea;1;0
517;1625007.14652781;4842928.23084938;29;;castanea;1;0
529;1625332.75573965;4841702.69365422;29;;castanea;1;0
536;1625656.76414806;4841074.4809436;29;;castanea;1;0
538;1625368.98116855;4841550.02046003;29;;castanea;1;0
543;1625602.02040143;4841697.85339214;29;;castanea;1;0
547;1625238.91518871;4841339.22808256;29;;castanea;1;0
557;1625014.21257251;4842274.71251735;29;;castanea;1;0
563;1625705.83559802;4841558.09577336;29;;castanea;1;0
622;1625639.91232529;4841166.63924204;29;;castanea;1;0
642;1625024.61755703;4841361.09961021;29;;castanea;1;0
645;1625399.01323903;4842458.82287646;29;;castanea;1;0
656;1625199.3492045;4842129.29183104;29;;castanea;1;0
661;1625626.85808987;4841494.87772325;29;;castanea;1;0
694;1625580.83334509;4841954.71707811;29;;castanea;1;0
714;1625189.01838055;4842199.50441283;29;;castanea;1;0
724;1625201.22737684;4842950.33445535;29;;castanea;1;0
752;1625816.11720058;4841449.31911962;29;;castanea;1;0
755;1625643.5819353;4841174.12374213;29;;castanea;1;0
759;1625216.5770901;4842896.35546324;29;;castanea;1;0
769;1625230.94262431;4842024.66441183;29;;castanea;1;0
774;1625797.82667451;4841509.74152134;29;;castanea;1;0
802;1625795.22341894;4841365.36303986;29;;castanea;1;0
828;1624904.65878151;4842875.2064956;29;;castanea;1;0
837;1625072.78966345;4842465.93381915;29;;castanea;1;0
839;1625359.92542102;4842492.74323119;29;;castanea;1;0
865;1625375.66643073;4842097.07457757;29;;castanea;1;0
866;1625294.44474544;4842473.58825199;29;;castanea;1;0
879;1624847.72139959;4843206.3423701;29;;castanea;1;0
880;1625131.24618202;4841367.67297333;29;;castanea;1;0
924;1625266.74228999;4842733.11654767;29;;castanea;1;0
925;1625197.70947716;4842164.01610451;29;;castanea;1;0
935;1624987.76985097;4841191.91705518;29;;castanea;1;0
938;1625628.3350253;4842255.65196417;29;;castanea;1;0
979;1624882.66989214;4843242.79685401;29;;castanea;1;0
982;1625448.50482671;4842207.83664354;29;;castanea;1;0
285;1623096.22442232;4843269.53420198;31;;altre_latifoglie;2;0
471;1622473.04037078;4843257.41328747;31;;altre_latifoglie;2;0
429;1623890.98512151;4842442.81210346;34;;altre_latifoglie;2;0
478;1623819.52409575;4842398.51890635;34;;altre_latifoglie;2;0
597;1624251.02186237;4842665.1093948;34;;altre_latifoglie;2;0
712;1624248.767323;4842650.23624112;34;;altre_latifoglie;2;0
789;1623711.01230431;4840484.53944049;36;;altre_latifoglie;2;0
927;1623699.24495383;4840466.20885915;36;;altre_latifoglie;2;0
29;1623663.73468185;4839108.81117719;37;;altre_latifoglie;2;0
293;1623359.69925811;4839358.57789463;37;;altre_latifoglie;2;0
449;1623096.7148272;4839731.86482082;38;;altre_latifoglie;2;0
702;1623018.41692298;4839708.67069039;38;;altre_latifoglie;2;0
793;1623055.00727435;4839792.8459139;38;;altre_latifoglie;2;0
972;1623999.42829852;4840912.63520794;39;;altre_latifoglie;2;0
834;1624229.4888973;4841162.87794063;40;;altre_latifoglie;2;0
723;1624038.19846304;4841945.6322022;41;;altre_latifoglie;2;0
