X;Y;Z;phi
m;m;m; 
R+;R+;D;R
;;; 
X;Y;depth;synthetic gaussian
;;; 
116.09;124.38;-27.23;-1.6709
65.83;89.11;-44.06;0.8735
128.79;36.73;-21.54;0.8614
104.61;111.85;-42.18;0.1221
14.13;12.67;-46.95;-0.2601
146.34;116.16;-25.07;1.4883
114.17;88.50;-17.23;1.5630
117.91;16.61;-7.29;1.0967
19.22;11.93;-10.86;0.3368
67.56;112.63;-7.14;-0.1898
55.62;43.94;-12.00;0.7285
139.01;133.40;-14.84;0.4559
96.58;114.31;-49.49;-0.3302
123.41;104.73;-18.69;-0.1329
66.51;41.79;-43.98;1.1856
34.09;106.34;-47.07;1.6169
83.19;142.22;-42.18;-0.6139
9.57;13.73;-8.84;-0.5842
124.14;48.92;-12.81;0.7161
94.75;35.20;-2.56;0.5296
113.71;58.99;-1.05;0.4462
53.18;111.35;-5.34;1.5623
145.60;71.14;-43.35;0.5368
133.97;85.61;-6.08;1.5249
116.76;47.12;-8.07;1.7544
29.20;21.19;-6.45;-0.2185
70.01;40.04;-42.42;0.2810
6.57;128.95;-44.16;-0.6588
23.14;90.36;-3.81;-0.4680
102.46;56.70;-41.31;-1.1966
111.71;118.49;-31.57;-0.1978
145.13;9.67;-27.20;0.3957
48.87;38.08;-43.78;-0.4808
55.57;34.52;-48.97;0.7289
70.43;147.80;-0.30;0.7123
28.42;105.91;-6.17;-1.2806
19.49;92.67;-4.38;0.4002
71.36;0.75;-35.77;0.5466
34.04;27.65;-38.99;-1.5007
100.47;95.33;-28.71;0.8576
65.57;56.96;-27.33;-1.4866
124.90;138.64;-49.72;-0.8126
105.04;114.71;-11.04;-0.7867
46.85;67.11;-0.17;1.3656
124.84;112.43;-23.57;-1.0173
120.71;146.31;-30.59;-1.6095
58.12;69.15;-30.36;-0.7071
43.25;96.38;-45.20;0.1628
102.37;137.80;-36.69;-2.1406
20.96;37.30;-24.89;0.4142
29.99;132.98;-28.41;-1.8379
1.10;14.63;-22.75;-0.5716
118.04;97.27;-7.55;-0.6137
99.73;117.43;-38.74;0.8907
105.77;92.19;-48.62;1.5570
117.11;74.33;-48.09;1.0577
68.84;92.60;-43.29;0.6395
85.31;22.75;-21.48;-2.5355
20.97;32.34;-9.59;0.5253
17.18;40.48;-5.66;1.2259
100.26;89.67;-18.24;1.4860
70.66;66.29;-29.84;-0.0514
84.79;36.67;-42.27;-1.3462
114.75;132.42;-29.93;-0.8521
95.21;56.09;-33.38;1.3983
83.04;66.90;-6.50;-1.3160
83.88;61.46;-25.66;-0.6589
45.59;27.29;-38.69;0.2009
4.62;109.74;-35.56;-0.6399
65.51;67.27;-43.18;-0.7174
32.19;2.44;-4.07;0.8913
61.28;144.60;-47.48;0.5114
128.01;122.36;-49.36;-0.2997
35.09;108.53;-40.85;-0.5249
8.75;130.36;-9.46;2.1038
42.21;136.02;-23.83;-0.6941
44.04;50.62;-18.71;1.7155
99.29;91.64;-32.11;0.8102
83.55;91.32;-46.57;-0.0711
117.58;40.09;-7.19;0.2828
