X;Y;Z;reality
m;m;m; 
R+;R+;R;R
;;; 
X;Y;depth;field
;;; 
1493529.3;4917087.2;-1.6;26.5
1493529.7;4917086.9;-1.6;26.5
1493529.9;4917086.3;-1.8;26.5
1493530.0;4917085.6;-1.5;26.5
1493530.1;4917085.0;-1.5;26.5
1493530.3;4917084.7;-1.9;26.2
1493530.8;4917084.5;-2.3;25.9
1493531.5;4917084.2;-2.6;25.6
1493532.4;4917084.1;-3.0;25.3
1493533.1;4917084.1;-3.2;25.0
1493533.2;4917084.2;-3.3;24.7
1493533.2;4917084.1;-3.2;24.6
1493533.2;4917084.0;-3.2;24.4
1493533.2;4917084.1;-3.2;24.3
1493533.1;4917084.1;-3.2;24.2
1493532.9;4917084.0;-3.1;24.1
1493532.8;4917084.0;-3.1;24.1
1493532.6;4917083.9;-3.0;24.0
1493532.8;4917083.5;-2.7;23.9
1493533.2;4917083.0;-2.1;23.9
1493533.6;4917082.9;-2.3;23.8
1493533.9;4917082.5;-2.2;23.8
1493534.2;4917082.1;-2.1;23.8
1493534.6;4917081.7;-1.7;23.7
1493534.8;4917081.4;-2.1;23.7
1493534.9;4917081.1;-2.5;23.7
1493535.1;4917081.0;-2.8;23.6
1493535.3;4917080.9;-3.0;23.6
1493536.2;4917080.1;-3.6;23.6
1493536.7;4917080.0;-4.0;23.6
1493536.8;4917080.0;-4.8;23.6
1493537.0;4917079.7;-5.3;23.6
1493537.4;4917079.0;-4.8;23.5
1493537.9;4917078.7;-5.1;23.5
1493538.3;4917078.6;-5.5;23.5
1493538.8;4917078.8;-5.8;23.5
1493539.4;4917079.0;-5.8;23.5
1493540.3;4917079.1;-6.0;23.4
1493540.9;4917078.8;-6.1;23.4
1493541.3;4917078.2;-6.1;23.4
1493541.6;4917077.5;-6.0;23.4
1493542.0;4917076.8;-5.9;23.5
1493542.5;4917076.3;-6.1;23.5
1493543.2;4917075.9;-6.0;23.5
1493543.7;4917075.7;-5.9;23.5
1493544.0;4917075.6;-5.8;23.5
1493544.5;4917075.5;-6.0;23.5
1493544.8;4917074.9;-5.7;23.6
1493545.1;4917074.2;-5.5;23.6
1493545.7;4917073.5;-5.1;23.6
1493546.2;4917072.8;-4.8;23.7
1493546.7;4917072.2;-4.3;23.8
1493547.1;4917071.5;-3.7;23.9
1493547.5;4917070.9;-3.0;24.3
1493547.7;4917070.0;-2.2;24.8
1493548.1;4917069.6;-1.6;25.2
1493548.5;4917069.3;-0.9;25.2
1493548.9;4917069.5;-0.6;25.2
1493548.8;4917069.5;-0.6;25.2
1493548.8;4917069.5;-0.6;25.2
1493549.0;4917069.6;-0.5;25.2
1493549.1;4917069.7;-0.4;25.2
1493549.3;4917069.8;-0.3;25.2
1493549.4;4917070.0;-0.1;25.2
1493550.0;4917070.0;0.6;25.2
1493550.8;4917070.0;1.1;25.2
1493551.5;4917069.7;1.5;25.2
1493552.1;4917068.7;1.9;25.2
1493552.5;4917067.4;2.0;25.2
1493552.8;4917066.4;2.7;25.2
1493553.2;4917065.4;3.0;25.2
1493553.7;4917064.7;3.0;25.2
1493554.1;4917064.1;2.5;25.2
1493554.7;4917063.3;2.5;25.2
1493555.3;4917062.7;2.5;25.2
1493555.8;4917062.2;2.6;25.2
1493556.3;4917061.5;2.9;25.2
1493556.9;4917060.8;3.2;25.2
1493557.1;4917060.1;2.8;25.2
1493557.6;4917059.7;1.9;25.2
1493558.1;4917059.0;1.0;25.2
1493558.6;4917058.1;0.5;25.2
1493559.2;4917057.3;0.1;25.2
1493559.5;4917056.4;0.4;25.2
1493559.6;4917055.7;0.4;25.2
1493559.8;4917054.9;0.5;25.2
1493560.2;4917054.0;0.8;25.2
1493560.1;4917053.2;0.8;25.2
1493560.0;4917052.3;1.0;25.2
1493560.1;4917051.6;1.2;25.2
1493560.0;4917051.0;1.3;25.2
1493559.9;4917050.2;1.7;25.2
1493559.8;4917049.3;2.4;25.2
1493559.8;4917048.8;2.6;25.2
1493559.8;4917048.3;2.8;25.2
1493559.8;4917046.2;2.9;25.2
1493559.8;4917045.1;2.8;25.2
1493559.5;4917044.1;2.8;25.2
1493559.4;4917043.0;2.6;25.2
1493559.2;4917042.0;2.4;25.2
1493559.1;4917040.9;2.2;25.2
1493558.7;4917039.6;2.3;25.2
1493558.6;4917038.1;2.8;25.2
1493558.6;4917036.7;3.0;25.2
1493559.0;4917035.2;2.5;25.2
1493559.6;4917033.8;2.3;25.2
1493559.8;4917032.4;1.7;25.2
1493559.7;4917031.4;1.4;25.2
1493559.5;4917030.2;1.6;25.2
1493559.3;4917029.0;1.9;25.2
1493559.3;4917027.8;2.1;25.2
1493559.5;4917026.6;2.3;25.2
1493559.6;4917024.8;2.6;25.2
1493559.7;4917023.4;3.1;25.2
1493560.1;4917022.0;3.6;25.2
1493560.5;4917020.8;4.0;25.2
1493560.2;4917020.0;4.5;25.2
1493559.5;4917019.2;4.7;25.2
1493559.1;4917018.1;5.5;25.2
1493559.3;4917016.9;6.2;25.2
1493559.4;4917015.8;7.0;25.2
1493559.7;4917014.9;9.1;25.2
1493559.5;4917014.2;10.3;25.3
1493559.3;4917013.5;11.6;25.3
1493559.3;4917012.6;12.6;25.3
1493559.2;4917011.5;13.4;25.3
1493559.1;4917010.1;13.8;25.3
1493559.3;4917008.9;14.0;25.2
1493559.4;4917008.1;13.3;25.2
1493559.4;4917007.3;12.5;25.2
1493559.7;4917006.4;11.5;25.2
1493559.9;4917005.3;11.0;25.3
1493560.0;4917004.2;10.6;25.3
1493559.9;4917003.0;10.1;25.3
1493559.7;4917001.9;9.7;25.3
1493559.4;4917000.7;9.0;25.3
1493559.0;4916999.6;8.3;25.2
1493559.3;4916998.2;8.2;25.2
1493559.5;4916996.9;8.0;25.2
1493559.7;4916995.5;7.9;25.2
1493559.9;4916994.2;7.8;25.2
1493560.1;4916992.8;7.6;25.2
1493560.3;4916991.4;7.5;25.2
1493560.5;4916990.1;7.4;25.2
1493560.7;4916988.7;7.2;25.2
1493561.0;4916987.4;7.1;25.2
1493561.2;4916986.0;7.0;25.2
1493561.4;4916984.7;6.8;25.2
1493561.6;4916983.3;6.7;25.2
1493561.8;4916981.9;6.6;25.2
1493562.0;4916980.6;6.4;25.2
1493562.2;4916979.2;6.3;25.2
1493562.4;4916977.9;6.0;25.2
1493562.5;4916976.6;5.7;25.2
